,file,Silence,Baby laughter,"Baby cry, infant cry"
404,v80_ns-87,0.1484375,0.0,0.0
405,v80_ns-88,0.1484375,0.0,0.0
406,v80_ns-89,0.1484375,0.0,0.0
407,v80_ns-9,0.19921875,0.0,0.0
408,v80_ns-90,0.1484375,0.0,0.0
409,v80_ns-91,0.1484375,0.0,0.0
410,v80_ns-92,0.1484375,0.0,0.0
411,v80_ns-93,0.109375,0.0,0.0
412,v80_ns-94,0.1484375,0.0,0.0
413,v80_ns-95,0.1484375,0.0,0.0
414,v80_ns-96,0.109375,0.0,0.0
415,v80_ns-97,0.19921875,0.0,0.0
416,v80_ns-98,0.1484375,0.0,0.0
417,v80_ns-99,0.1484375,0.0,0.0
418,v81_ns-1,0.109375,0.4140625,0.19921875
419,v81_ns-10,0.1484375,0.01953125,0.01953125
420,v81_ns-11,0.19921875,0.04296875,0.80078125
421,v81_ns-12,0.1484375,0.05859375,0.8515625
422,v81_ns-13,0.1484375,0.00390625,0.80078125
423,v81_ns-14,0.19921875,0.015625,0.05859375
424,v81_ns-15,0.19921875,0.04296875,0.5
425,v81_ns-16,0.1484375,0.109375,0.015625
426,v81_ns-17,0.1484375,0.01953125,0.01171875
427,v81_ns-18,0.19921875,0.00390625,0.00390625
428,v81_ns-19,0.26171875,0.0,0.0
429,v81_ns-2,0.19921875,0.08203125,0.4140625
430,v81_ns-20,0.1484375,0.05859375,0.05859375
431,v81_ns-21,0.19921875,0.0078125,0.80078125
432,v81_ns-22,0.19921875,0.08203125,0.109375
433,v81_ns-23,0.1484375,0.1484375,0.1484375
434,v81_ns-24,0.109375,0.015625,0.00390625
435,v81_ns-25,0.19921875,0.4140625,0.4140625
436,v81_ns-26,0.19921875,0.015625,0.890625
437,v81_ns-27,0.1484375,0.33203125,0.26171875
438,v81_ns-28,0.08203125,0.4140625,0.04296875
439,v81_ns-29,0.26171875,0.5859375,0.109375
440,v81_ns-3,0.1484375,0.01953125,0.73828125
441,v81_ns-30,0.1484375,0.01953125,0.00390625
442,v81_ns-31,0.1484375,0.08203125,0.08203125
443,v81_ns-32,0.19921875,0.05859375,0.109375
444,v81_ns-33,0.26171875,0.0,0.0
445,v81_ns-34,0.1484375,0.00390625,0.01171875
446,v81_ns-35,0.1484375,0.05859375,0.01953125
447,v81_ns-36,0.1484375,0.03125,0.015625
